JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]
Loaded config from: /home/kraghavan/projects/ContLearn/runs__/configs/sine_noise_condition3_arch_no_transfer.json
Problem type: regression
Dataset: sine
Tasks: 5
AWB enabled: True
Output directory: /home/kraghavan/projects/ContLearn/runs__/experiments/sine_noise/results/sine_noise_condition3_arch_no_transfer_run2
Model path: /home/kraghavan/projects/ContLearn/runs__/experiments/sine_noise/results/sine_noise_condition3_arch_no_transfer_run2/sine_noise_condition3_arch_no_transfer_run2
############################################################
# Run ID: 2
############################################################
============================================================
Task 0
============================================================
  Note: Batch size capped from 1024 to 800 due to small dataset size (800 samples)
  Note: Batch size capped from 1024 to 800 due to small dataset size (800 samples)
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
  0%|          | 0/500 [00:00<?, ?it/s]
  0%|          | 1/500 [00:07<1:05:02,  7.82s/it]
  0%|          | 1/500 [00:07<1:05:02,  7.82s/it, MSE=2.904346e-01 H=2.360387e-01 dV_dx=4.674072e-07 dV_dθ=-5.439643e-02 ||∇||=1.770934e+00 | Tr=0.2821]
 99%|█████████▉| 497/500 [02:10<00:00,  5.99it/s, MSE=2.659342e-02 H=2.659101e-02 dV_dx=-1.115915e-07 dV_dθ=-2.306158e-06 ||∇||=1.832267e-02 | Tr=0.0268]
100%|█████████▉| 499/500 [02:10<00:00,  6.99it/s, MSE=2.659342e-02 H=2.659101e-02 dV_dx=-1.115915e-07 dV_dθ=-2.306158e-06 ||∇||=1.832267e-02 | Tr=0.0268]
100%|█████████▉| 499/500 [02:10<00:00,  6.99it/s, MSE=2.658832e-02 H=2.658590e-02 dV_dx=-1.106069e-07 dV_dθ=-2.311771e-06 ||∇||=1.834030e-02 | Tr=0.0268 Te/Cur=0.0269 Te/Exp=0.0268]
100%|██████████| 500/500 [02:10<00:00,  5.63it/s, MSE=2.658832e-02 H=2.658590e-02 dV_dx=-1.106069e-07 dV_dθ=-2.311771e-06 ||∇||=1.834030e-02 | Tr=0.0268 Te/Cur=0.0269 Te/Exp=0.0268]
100%|██████████| 500/500 [02:10<00:00,  3.82it/s, MSE=2.658832e-02 H=2.658590e-02 dV_dx=-1.106069e-07 dV_dθ=-2.311771e-06 ||∇||=1.834030e-02 | Tr=0.0268 Te/Cur=0.0269 Te/Exp=0.0268]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]

[AWB COMPLETE] Task 1 final loss: 0.026588
======================================================================


  Evaluating on all tasks 0..1 for CL metrics...
    Task 0: 0.0268
    Task 1: 0.0269

============================================================
Task 2
============================================================
  Note: Batch size capped from 1024 to 800 due to small dataset size (800 samples)
  Note: Batch size capped from 1024 to 800 due to small dataset size (800 samples)
Initial loss on new task: 0.0612, previous: 0.0266, ratio: 2.30
AWB pipeline (lr=0.000100)

======================================================================
AWB PIPELINE - Task 2
======================================================================

[STEP 1] Preliminary training (1 epochs) - Recorded temporarily
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/1 [00:00<?, ?it/s]
  0%|          | 0/1 [00:02<?, ?it/s, MSE=2.676156e-02 H=2.675874e-02 dV_dx=-1.427023e-09 dV_dθ=-2.823750e-06 ||∇||=2.223578e-02 | Tr=0.0270 Te/Cur=0.0271 Te/Exp=0.0266]
100%|██████████| 1/1 [00:02<00:00,  2.06s/it, MSE=2.676156e-02 H=2.675874e-02 dV_dx=-1.427023e-09 dV_dθ=-2.823750e-06 ||∇||=2.223578e-02 | Tr=0.0270 Te/Cur=0.0271 Te/Exp=0.0266]
100%|██████████| 1/1 [00:02<00:00,  2.06s/it, MSE=2.676156e-02 H=2.675874e-02 dV_dx=-1.427023e-09 dV_dθ=-2.823750e-06 ||∇||=2.223578e-02 | Tr=0.0270 Te/Cur=0.0271 Te/Exp=0.0266]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]
  Preliminary loss: 0.026762

[STEP 2] Architecture change decision
  Current: 0.026762, Previous: 0.026588
  [DEBUG] Forcing architecture change (force_arch_change=True)
  Decision: CHANGE

[STEP 3a] Architecture search - NOT recorded
  Created balanced validation set: 28218 samples from 27605 classes
  Created balanced validation set: 56365 samples from 55139 classes
  Starting grid architecture search for task 2
  Baseline architecture: [3, 79, 79, 10]
  Baseline loss: 0.026762
  Search iteration 1/2
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/2 [00:00<?, ?it/s]
 50%|█████     | 1/2 [00:08<00:08,  8.63s/it]
 50%|█████     | 1/2 [00:11<00:08,  8.63s/it, MSE=5.621648e-02 H=5.096081e-02 dV_dx=1.830345e-07 dV_dθ=-5.255848e-03 ||∇||=7.093079e-01 | Tr=0.0549 Te/Cur=0.0400 Te/Exp=0.0405]
100%|██████████| 2/2 [00:11<00:00,  5.02s/it, MSE=5.621648e-02 H=5.096081e-02 dV_dx=1.830345e-07 dV_dθ=-5.255848e-03 ||∇||=7.093079e-01 | Tr=0.0549 Te/Cur=0.0400 Te/Exp=0.0405]
100%|██████████| 2/2 [00:11<00:00,  5.56s/it, MSE=5.621648e-02 H=5.096081e-02 dV_dx=1.830345e-07 dV_dθ=-5.255848e-03 ||∇||=7.093079e-01 | Tr=0.0549 Te/Cur=0.0400 Te/Exp=0.0405]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]
I found my baseline 0.05621647649913237
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/2 [00:00<?, ?it/s]
 50%|█████     | 1/2 [00:10<00:10, 10.64s/it]
 50%|█████     | 1/2 [00:13<00:10, 10.64s/it, MSE=5.030135e-02 H=4.674590e-02 dV_dx=-2.584314e-08 dV_dθ=-3.555425e-03 ||∇||=5.822596e-01 | Tr=0.0489 Te/Cur=0.0376 Te/Exp=0.0366]
100%|██████████| 2/2 [00:13<00:00,  5.93s/it, MSE=5.030135e-02 H=4.674590e-02 dV_dx=-2.584314e-08 dV_dθ=-3.555425e-03 ||∇||=5.822596e-01 | Tr=0.0489 Te/Cur=0.0376 Te/Exp=0.0366]
100%|██████████| 2/2 [00:13<00:00,  6.64s/it, MSE=5.030135e-02 H=4.674590e-02 dV_dx=-2.584314e-08 dV_dθ=-3.555425e-03 ||∇||=5.822596e-01 | Tr=0.0489 Te/Cur=0.0376 Te/Exp=0.0366]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]
    Found better architecture: [3, 79, 94, 10] with loss 0.050301
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/2 [00:00<?, ?it/s]
 50%|█████     | 1/2 [00:11<00:11, 11.36s/it]
 50%|█████     | 1/2 [00:14<00:11, 11.36s/it, MSE=8.468271e-02 H=7.228097e-02 dV_dx=-9.978986e-08 dV_dθ=-1.240164e-02 ||∇||=1.110155e+00 | Tr=0.0819 Te/Cur=0.0501 Te/Exp=0.0506]
100%|██████████| 2/2 [00:14<00:00,  6.25s/it, MSE=8.468271e-02 H=7.228097e-02 dV_dx=-9.978986e-08 dV_dθ=-1.240164e-02 ||∇||=1.110155e+00 | Tr=0.0819 Te/Cur=0.0501 Te/Exp=0.0506]
100%|██████████| 2/2 [00:14<00:00,  7.02s/it, MSE=8.468271e-02 H=7.228097e-02 dV_dx=-9.978986e-08 dV_dθ=-1.240164e-02 ||∇||=1.110155e+00 | Tr=0.0819 Te/Cur=0.0501 Te/Exp=0.0506]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/2 [00:00<?, ?it/s]
 50%|█████     | 1/2 [00:10<00:10, 10.30s/it]
 50%|█████     | 1/2 [00:12<00:10, 10.30s/it, MSE=1.034737e-01 H=8.983965e-02 dV_dx=-2.386351e-07 dV_dθ=-1.363381e-02 ||∇||=1.209770e+00 | Tr=0.0996 Te/Cur=0.0610 Te/Exp=0.0605]
100%|██████████| 2/2 [00:12<00:00,  5.75s/it, MSE=1.034737e-01 H=8.983965e-02 dV_dx=-2.386351e-07 dV_dθ=-1.363381e-02 ||∇||=1.209770e+00 | Tr=0.0996 Te/Cur=0.0610 Te/Exp=0.0605]
100%|██████████| 2/2 [00:12<00:00,  6.43s/it, MSE=1.034737e-01 H=8.983965e-02 dV_dx=-2.386351e-07 dV_dθ=-1.363381e-02 ||∇||=1.209770e+00 | Tr=0.0996 Te/Cur=0.0610 Te/Exp=0.0605]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]
  Search iteration 2/2
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/2 [00:00<?, ?it/s]
 50%|█████     | 1/2 [00:05<00:05,  5.56s/it]
 50%|█████     | 1/2 [00:08<00:05,  5.56s/it, MSE=8.857306e-02 H=7.932176e-02 dV_dx=-1.714737e-07 dV_dθ=-9.251122e-03 ||∇||=9.501355e-01 | Tr=0.0876 Te/Cur=0.0557 Te/Exp=0.0590]
100%|██████████| 2/2 [00:08<00:00,  3.81s/it, MSE=8.857306e-02 H=7.932176e-02 dV_dx=-1.714737e-07 dV_dθ=-9.251122e-03 ||∇||=9.501355e-01 | Tr=0.0876 Te/Cur=0.0557 Te/Exp=0.0590]
100%|██████████| 2/2 [00:08<00:00,  4.07s/it, MSE=8.857306e-02 H=7.932176e-02 dV_dx=-1.714737e-07 dV_dθ=-9.251122e-03 ||∇||=9.501355e-01 | Tr=0.0876 Te/Cur=0.0557 Te/Exp=0.0590]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]
I found my baseline 0.08857305558723606
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/2 [00:00<?, ?it/s]
 50%|█████     | 1/2 [00:11<00:11, 11.21s/it]
 50%|█████     | 1/2 [00:14<00:11, 11.21s/it, MSE=1.119952e-01 H=9.650245e-02 dV_dx=4.512804e-07 dV_dθ=-1.549318e-02 ||∇||=1.318798e+00 | Tr=0.1079 Te/Cur=0.0632 Te/Exp=0.0626]
100%|██████████| 2/2 [00:14<00:00,  6.42s/it, MSE=1.119952e-01 H=9.650245e-02 dV_dx=4.512804e-07 dV_dθ=-1.549318e-02 ||∇||=1.318798e+00 | Tr=0.1079 Te/Cur=0.0632 Te/Exp=0.0626]
100%|██████████| 2/2 [00:14<00:00,  7.14s/it, MSE=1.119952e-01 H=9.650245e-02 dV_dx=4.512804e-07 dV_dθ=-1.549318e-02 ||∇||=1.318798e+00 | Tr=0.1079 Te/Cur=0.0632 Te/Exp=0.0626]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/2 [00:00<?, ?it/s]
 50%|█████     | 1/2 [00:07<00:07,  7.71s/it]
 50%|█████     | 1/2 [00:11<00:07,  7.71s/it, MSE=5.222534e-02 H=4.832080e-02 dV_dx=-2.426577e-08 dV_dθ=-3.904509e-03 ||∇||=6.167275e-01 | Tr=0.0503 Te/Cur=0.0389 Te/Exp=0.0383]
100%|██████████| 2/2 [00:11<00:00,  5.16s/it, MSE=5.222534e-02 H=4.832080e-02 dV_dx=-2.426577e-08 dV_dθ=-3.904509e-03 ||∇||=6.167275e-01 | Tr=0.0503 Te/Cur=0.0389 Te/Exp=0.0383]
100%|██████████| 2/2 [00:11<00:00,  5.54s/it, MSE=5.222534e-02 H=4.832080e-02 dV_dx=-2.426577e-08 dV_dθ=-3.904509e-03 ||∇||=6.167275e-01 | Tr=0.0503 Te/Cur=0.0389 Te/Exp=0.0383]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]
    Found better architecture: [3, 94, 94, 10] with loss 0.052225
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/2 [00:00<?, ?it/s]
 50%|█████     | 1/2 [00:16<00:16, 16.59s/it]
 50%|█████     | 1/2 [00:21<00:16, 16.59s/it, MSE=6.433150e-02 H=5.907634e-02 dV_dx=-1.547432e-07 dV_dθ=-5.255008e-03 ||∇||=7.979369e-01 | Tr=0.0620 Te/Cur=0.0455 Te/Exp=0.0448]
100%|██████████| 2/2 [00:21<00:00,  9.71s/it, MSE=6.433150e-02 H=5.907634e-02 dV_dx=-1.547432e-07 dV_dθ=-5.255008e-03 ||∇||=7.979369e-01 | Tr=0.0620 Te/Cur=0.0455 Te/Exp=0.0448]
100%|██████████| 2/2 [00:21<00:00, 10.74s/it, MSE=6.433150e-02 H=5.907634e-02 dV_dx=-1.547432e-07 dV_dθ=-5.255008e-03 ||∇||=7.979369e-01 | Tr=0.0620 Te/Cur=0.0455 Te/Exp=0.0448]
[DEBUG] Using PrefetchDataLoader path (use_prefetch=True)
[DEBUG] First train batch device: [CudaDevice(id=0)]
  Grid search complete.
  Best architecture: [3, 94, 94, 10] with loss 0.052225
  Total candidates evaluated: 8
  Original: [3, 79, 79, 10]
  Optimal: [3, 94, 94, 10]

[STEP 3b] Skipping A/B training (awb_skip_transfer=True)
  Using random initialization for new architecture

[STEP 4] Compute V = A @ W @ B^T (random A/B)

[STEP 5] Train V (random init): warmup 0 + main 500
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/500 [00:00<?, ?it/s]
  0%|          | 1/500 [00:04<35:45,  4.30s/it]
  0%|          | 1/500 [00:04<35:45,  4.30s/it, MSE=2.668822e-02 H=2.668211e-02 dV_dx=1.302626e-07 dV_dθ=-6.240778e-06 ||∇||=2.843306e-02 | Tr=0.0269]
  0%|          | 2/500 [00:04<16:56,  2.04s/it, MSE=2.668822e-02 H=2.668211e-02 dV_dx=1.302626e-07 dV_dθ=-6.240778e-06 ||∇||=2.843306e-02 | Tr=0.0269]
  0%|          | 2/500 [00:04<16:56,  2.04s/it, MSE=2.668385e-02 H=2.668129e-02 dV_dx=3.215227e-07 dV_dθ=-2.882028e-06 ||∇||=2.308931e-02 | Tr=0.0269]
  1%|          | 3/500 [00:04<09:49,  1.19s/it, MSE=2.668385e-02 H=2.668129e-02 dV_dx=3.215227e-07 dV_dθ=-2.882028e-06 ||∇||=2.308931e-02 | Tr=0.0269]
  1%|          | 3/500 [00:05<09:49,  1.19s/it, MSE=2.667220e-02 H=2.666955e-02 dV_dx=2.922495e-07 dV_dθ=-2.940453e-06 ||∇||=2.308367e-02 | Tr=0.0269]
  1%|          | 4/500 [00:05<07:11,  1.15it/s, MSE=2.667220e-02 H=2.666955e-02 dV_dx=2.922495e-07 dV_dθ=-2.940453e-06 ||∇||=2.308367e-02 | Tr=0.0269]
  1%|          | 4/500 [00:05<07:11,  1.15it/s, MSE=2.666716e-02 H=2.666594e-02 dV_dx=3.312019e-07 dV_dθ=-1.555713e-06 ||∇||=2.059434e-02 | Tr=0.0269]
  1%|          | 5/500 [00:05<06:02,  1.36it/s, MSE=2.666716e-02 H=2.666594e-02 dV_dx=3.312019e-07 dV_dθ=-1.555713e-06 ||∇||=2.059434e-02 | Tr=0.0269]
  1%|          | 5/500 [00:06<06:02,  1.36it/s, MSE=2.665982e-02 H=2.665852e-02 dV_dx=6.749585e-08 dV_dθ=-1.374872e-06 ||∇||=2.050684e-02 | Tr=0.0269]
  1%|          | 6/500 [00:06<05:30,  1.49it/s, MSE=2.665982e-02 H=2.665852e-02 dV_dx=6.749585e-08 dV_dθ=-1.374872e-06 ||∇||=2.050684e-02 | Tr=0.0269]
  1%|          | 6/500 [00:06<05:30,  1.49it/s, MSE=2.665447e-02 H=2.665316e-02 dV_dx=-4.827338e-07 dV_dθ=-8.306704e-07 ||∇||=1.937098e-02 | Tr=0.0269]
  1%|▏         | 7/500 [00:06<04:58,  1.65it/s, MSE=2.665447e-02 H=2.665316e-02 dV_dx=-4.827338e-07 dV_dθ=-8.306704e-07 ||∇||=1.937098e-02 | Tr=0.0269]
  1%|▏         | 7/500 [00:07<04:58,  1.65it/s, MSE=2.665112e-02 H=2.665057e-02 dV_dx=1.877111e-07 dV_dθ=-7.402518e-07 ||∇||=1.923491e-02 | Tr=0.0269] 
  2%|▏         | 8/500 [00:07<04:10,  1.96it/s, MSE=2.665112e-02 H=2.665057e-02 dV_dx=1.877111e-07 dV_dθ=-7.402518e-07 ||∇||=1.923491e-02 | Tr=0.0269]
  2%|▏         | 8/500 [00:07<04:10,  1.96it/s, MSE=2.664456e-02 H=2.664313e-02 dV_dx=-4.822113e-07 dV_dθ=-9.471389e-07 ||∇||=1.931770e-02 | Tr=0.0269]
  2%|▏         | 9/500 [00:07<03:56,  2.08it/s, MSE=2.664456e-02 H=2.664313e-02 dV_dx=-4.822113e-07 dV_dθ=-9.471389e-07 ||∇||=1.931770e-02 | Tr=0.0269]
  2%|▏         | 9/500 [00:08<03:56,  2.08it/s, MSE=2.664002e-02 H=2.663958e-02 dV_dx=-6.512058e-08 dV_dθ=-3.753511e-07 ||∇||=1.834044e-02 | Tr=0.0269]
  2%|▏         | 10/500 [00:08<03:58,  2.05it/s, MSE=2.664002e-02 H=2.663958e-02 dV_dx=-6.512058e-08 dV_dθ=-3.753511e-07 ||∇||=1.834044e-02 | Tr=0.0269]
  2%|▏         | 10/500 [00:08<03:58,  2.05it/s, MSE=2.663498e-02 H=2.663478e-02 dV_dx=2.987176e-07 dV_dθ=-5.030492e-07 ||∇||=1.868561e-02 | Tr=0.0269] 
  2%|▏         | 11/500 [00:08<04:24,  1.85it/s, MSE=2.663498e-02 H=2.663478e-02 dV_dx=2.987176e-07 dV_dθ=-5.030492e-07 ||∇||=1.868561e-02 | Tr=0.0269]
  2%|▏         | 11/500 [00:09<04:24,  1.85it/s, MSE=2.663138e-02 H=2.663137e-02 dV_dx=3.847352e-07 dV_dθ=-4.029843e-07 ||∇||=1.844085e-02 | Tr=0.0269]
  2%|▏         | 12/500 [00:09<04:11,  1.94it/s, MSE=2.663138e-02 H=2.663137e-02 dV_dx=3.847352e-07 dV_dθ=-4.029843e-07 ||∇||=1.844085e-02 | Tr=0.0269]
  2%|▏         | 12/500 [00:09<04:11,  1.94it/s, MSE=2.662696e-02 H=2.662679e-02 dV_dx=1.703649e-07 dV_dθ=-3.376903e-07 ||∇||=1.833301e-02 | Tr=0.0269]
  3%|▎         | 13/500 [00:09<04:10,  1.95it/s, MSE=2.662696e-02 H=2.662679e-02 dV_dx=1.703649e-07 dV_dθ=-3.376903e-07 ||∇||=1.833301e-02 | Tr=0.0269]
  3%|▎         | 13/500 [00:10<04:10,  1.95it/s, MSE=2.662205e-02 H=2.662196e-02 dV_dx=2.000354e-07 dV_dθ=-2.935529e-07 ||∇||=1.813764e-02 | Tr=0.0269]
  3%|▎         | 14/500 [00:10<03:53,  2.08it/s, MSE=2.662205e-02 H=2.662196e-02 dV_dx=2.000354e-07 dV_dθ=-2.935529e-07 ||∇||=1.813764e-02 | Tr=0.0269]
  3%|▎         | 14/500 [00:10<03:53,  2.08it/s, MSE=2.661776e-02 H=2.661767e-02 dV_dx=1.895258e-07 dV_dθ=-2.830647e-07 ||∇||=1.822307e-02 | Tr=0.0269]
  3%|▎         | 15/500 [00:10<04:14,  1.90it/s, MSE=2.661776e-02 H=2.661767e-02 dV_dx=1.895258e-07 dV_dθ=-2.830647e-07 ||∇||=1.822307e-02 | Tr=0.0269]
  3%|▎         | 15/500 [00:10<04:14,  1.90it/s, MSE=2.661284e-02 H=2.661265e-02 dV_dx=1.584593e-07 dV_dθ=-3.480021e-07 ||∇||=1.830746e-02 | Tr=0.0269]
  3%|▎         | 16/500 [00:10<03:30,  2.30it/s, MSE=2.661284e-02 H=2.661265e-02 dV_dx=1.584593e-07 dV_dθ=-3.480021e-07 ||∇||=1.830746e-02 | Tr=0.0269]
  3%|▎         | 16/500 [00:11<03:30,  2.30it/s, MSE=2.660902e-02 H=2.660878e-02 dV_dx=1.138640e-08 dV_dθ=-2.519731e-07 ||∇||=1.813510e-02 | Tr=0.0269]
  3%|▎         | 17/500 [00:11<03:06,  2.60it/s, MSE=2.660902e-02 H=2.660878e-02 dV_dx=1.138640e-08 dV_dθ=-2.519731e-07 ||∇||=1.813510e-02 | Tr=0.0269]
  3%|▎         | 17/500 [00:11<03:06,  2.60it/s, MSE=2.660516e-02 H=2.660494e-02 dV_dx=5.108578e-08 dV_dθ=-2.734591e-07 ||∇||=1.822523e-02 | Tr=0.0268]
  4%|▎         | 18/500 [00:11<03:18,  2.42it/s, MSE=2.660516e-02 H=2.660494e-02 dV_dx=5.108578e-08 dV_dθ=-2.734591e-07 ||∇||=1.822523e-02 | Tr=0.0268]
  4%|▎         | 18/500 [00:12<03:18,  2.42it/s, MSE=2.660058e-02 H=2.660023e-02 dV_dx=-7.042768e-08 dV_dθ=-2.761589e-07 ||∇||=1.816167e-02 | Tr=0.0268]
  4%|▍         | 19/500 [00:12<03:07,  2.57it/s, MSE=2.660058e-02 H=2.660023e-02 dV_dx=-7.042768e-08 dV_dθ=-2.761589e-07 ||∇||=1.816167e-02 | Tr=0.0268]
  4%|▍         | 19/500 [00:12<03:07,  2.57it/s, MSE=2.659594e-02 H=2.659547e-02 dV_dx=-2.306232e-07 dV_dθ=-2.474939e-07 ||∇||=1.809902e-02 | Tr=0.0268]
  4%|▍         | 20/500 [00:12<03:09,  2.54it/s, MSE=2.659594e-02 H=2.659547e-02 dV_dx=-2.306232e-07 dV_dθ=-2.474939e-07 ||∇||=1.809902e-02 | Tr=0.0268]
  4%|▍         | 20/500 [00:12<03:09,  2.54it/s, MSE=2.659227e-02 H=2.659207e-02 dV_dx=7.916119e-08 dV_dθ=-2.797302e-07 ||∇||=1.820130e-02 | Tr=0.0268] 
  4%|▍         | 21/500 [00:12<03:09,  2.53it/s, MSE=2.659227e-02 H=2.659207e-02 dV_dx=7.916119e-08 dV_dθ=-2.797302e-07 ||∇||=1.820130e-02 | Tr=0.0268]
  4%|▍         | 21/500 [00:13<03:09,  2.53it/s, MSE=2.658838e-02 H=2.658786e-02 dV_dx=-2.716293e-07 dV_dθ=-2.510930e-07 ||∇||=1.818424e-02 | Tr=0.0268]
  4%|▍         | 22/500 [00:13<02:54,  2.75it/s, MSE=2.658838e-02 H=2.658786e-02 dV_dx=-2.716293e-07 dV_dθ=-2.510930e-07 ||∇||=1.818424e-02 | Tr=0.0268]
  4%|▍         | 22/500 [00:13<02:54,  2.75it/s, MSE=2.658398e-02 H=2.658381e-02 dV_dx=1.184606e-07 dV_dθ=-2.821661e-07 ||∇||=1.821046e-02 | Tr=0.0268] 
  5%|▍         | 23/500 [00:13<02:19,  3.42it/s, MSE=2.658398e-02 H=2.658381e-02 dV_dx=1.184606e-07 dV_dθ=-2.821661e-07 ||∇||=1.821046e-02 | Tr=0.0268]
  5%|▍         | 23/500 [00:13<02:19,  3.42it/s, MSE=2.657986e-02 H=2.657961e-02 dV_dx=3.154018e-08 dV_dθ=-2.772284e-07 ||∇||=1.821126e-02 | Tr=0.0268]
  5%|▍         | 24/500 [00:13<02:54,  2.73it/s, MSE=2.657986e-02 H=2.657961e-02 dV_dx=3.154018e-08 dV_dθ=-2.772284e-07 ||∇||=1.821126e-02 | Tr=0.0268]
  5%|▍         | 24/500 [00:14<02:54,  2.73it/s, MSE=2.657574e-02 H=2.657599e-02 dV_dx=5.211874e-07 dV_dθ=-2.739872e-07 ||∇||=1.821129e-02 | Tr=0.0268]
  5%|▌         | 25/500 [00:14<03:12,  2.46it/s, MSE=2.657574e-02 H=2.657599e-02 dV_dx=5.211874e-07 dV_dθ=-2.739872e-07 ||∇||=1.821129e-02 | Tr=0.0268]
  5%|▌         | 25/500 [00:14<03:12,  2.46it/s, MSE=2.657187e-02 H=2.657159e-02 dV_dx=-2.363936e-08 dV_dθ=-2.558617e-07 ||∇||=1.820039e-02 | Tr=0.0268]
  5%|▌         | 26/500 [00:14<03:12,  2.46it/s, MSE=2.657187e-02 H=2.657159e-02 dV_dx=-2.363936e-08 dV_dθ=-2.558617e-07 ||∇||=1.820039e-02 | Tr=0.0268]
  5%|▌         | 26/500 [00:15<03:12,  2.46it/s, MSE=2.656780e-02 H=2.656775e-02 dV_dx=2.551275e-07 dV_dθ=-3.077508e-07 ||∇||=1.830818e-02 | Tr=0.0268] 
  5%|▌         | 27/500 [00:15<03:30,  2.24it/s, MSE=2.656780e-02 H=2.656775e-02 dV_dx=2.551275e-07 dV_dθ=-3.077508e-07 ||∇||=1.830818e-02 | Tr=0.0268]
  5%|▌         | 27/500 [00:15<03:30,  2.24it/s, MSE=2.656367e-02 H=2.656356e-02 dV_dx=1.687502e-07 dV_dθ=-2.777168e-07 ||∇||=1.823600e-02 | Tr=0.0268]
  6%|▌         | 28/500 [00:15<03:54,  2.01it/s, MSE=2.656367e-02 H=2.656356e-02 dV_dx=1.687502e-07 dV_dθ=-2.777168e-07 ||∇||=1.823600e-02 | Tr=0.0268]
  6%|▌         | 28/500 [00:16<03:54,  2.01it/s, MSE=2.655969e-02 H=2.655970e-02 dV_dx=2.905813e-07 dV_dθ=-2.806475e-07 ||∇||=1.825689e-02 | Tr=0.0268]
  6%|▌         | 29/500 [00:16<03:50,  2.04it/s, MSE=2.655969e-02 H=2.655970e-02 dV_dx=2.905813e-07 dV_dθ=-2.806475e-07 ||∇||=1.825689e-02 | Tr=0.0268]
  6%|▌         | 29/500 [00:16<03:50,  2.04it/s, MSE=2.655582e-02 H=2.655563e-02 dV_dx=1.011066e-07 dV_dθ=-2.849198e-07 ||∇||=1.828034e-02 | Tr=0.0268]
